X,Y,timestamp,moisture,speed,width,yield
440829.9239,5018744.777,2021-11-07T00:42:04,22.39999962,4.275000095,20.01000023,99.11165619
440828.9891,5018730.776,2021-11-07T00:32:02,21.29999924,3.313636303,16.98999977,99.18634796
440810.5834,5018815.72,2021-11-07T00:49:13,24,6.197727203,7.510000229,99.45116425
440832.5599,5018740.227,2021-11-07T00:42:01,23,3.109090805,20.01000023,99.4757309
440792.7897,5018875.661,2021-11-07T00:34:51,24.29999924,3.020454645,20.01000023,99.87968445
440830.8811,5018743.109,2021-11-07T00:42:03,22.5,3.981818199,20.01000023,100.1645355
440779.353,5018836.43,2021-11-07T00:42:48,22.70000076,5.434091091,20.01000023,100.4349747
440782.8583,5018876.471,2021-11-07T00:39:42,22.89999962,4.922727108,18.5,100.4698257
440814.5331,5018808.433,2021-11-07T00:49:10,23.60000038,6.21818161,7.510000229,100.6730042
440817.2225,5018803.56,2021-11-07T00:49:08,23.89999962,6.238636494,7.510000229,100.9688034
440795.0909,5018781.271,2021-11-07T00:37:33,22.5,5.393181801,20.01000023,101.0077133
440781.6391,5018832.151,2021-11-07T00:42:46,22.89999962,5.434091091,20.01000023,101.065567
440767.5126,5018832.128,2021-11-07T00:37:09,22,5.256818295,20.01000023,101.5028
440783.9088,5018841.164,2021-11-07T00:46:37,22.5,6.443181992,20.01000023,101.5321198
440758.4671,5018904.844,2021-11-07T00:40:25,22.79999924,3.981818199,19.48999977,101.8142548
440788.011,5018833.608,2021-11-07T00:46:34,22.79999924,6.395454407,20.01000023,101.8938675
440855.186,5018755.107,2021-11-07T00:38:46,23.79999924,4.963636398,20.01000023,102.127037
440770.1336,5018878.585,2021-11-07T00:47:15,23.10000038,5.727272511,7.510000229,102.1590576
440837.6215,5018765.838,2021-11-07T00:48:53,24.60000038,6.109090805,10.01000023,102.1954498
440832.7273,5018750.568,2021-11-07T00:45:59,23.60000038,4.186363697,17.48999977,102.2087708
440788.512,5018819.384,2021-11-07T00:42:40,23,5.3659091,20.01000023,102.2170029
440830.789,5018754.351,2021-11-07T00:46:01,22.89999962,4.922727108,17.48999977,102.3356934
440815.8777,5018805.989,2021-11-07T00:49:09,23.70000076,6.21818161,7.510000229,102.5931015
440776.6783,5018827.827,2021-11-07T00:41:00,22.20000076,5.611363411,20.01000023,102.6769714
440760.455,5018858.26,2021-11-07T00:40:46,21.89999962,5.345454693,20.01000023,102.6985397
440833.5717,5018748.902,2021-11-07T00:45:58,24.20000076,3.756818295,17.48999977,102.8595276
440833.3787,5018729.807,2021-11-07T00:32:18,21.20000076,1.922727227,20.01000023,102.8841324
440831.7998,5018752.389,2021-11-07T00:46:00,23.10000038,4.561363697,17.48999977,102.8934479
440830.0834,5018733.211,2021-11-07T00:38:13,22.5,3.402272701,14.98999977,103.0508728
440826.6326,5018786.217,2021-11-07T00:49:01,23.79999924,6.552272797,7.510000229,103.0684891
440781.2653,5018877.989,2021-11-07T00:39:43,22.60000038,4.922727108,17.48999977,103.2983627
