X,Y,timestamp,moisture,speed,width,yield,inBoundary
440752.5373,5018903.916,2021-11-07T00:36:30,21.79999924,3.579545498,20.01000023,71.29549408,1
440752.0291,5018902.333,2021-11-07T00:36:31,21.89999962,3.715909004,20.01000023,71.88897705,1
440751.5768,5018900.707,2021-11-07T00:36:32,21.89999962,3.804545403,20.01000023,76.65581512,1
440751.1384,5018899.067,2021-11-07T00:36:33,21.89999962,3.804545403,20.01000023,79.87664795,1
440750.7282,5018897.413,2021-11-07T00:36:34,21.89999962,3.825000048,20.01000023,77.52732849,1
440750.3457,5018895.716,2021-11-07T00:36:35,22.10000038,3.913636446,20.01000023,72.45441437,1
440749.963,5018893.992,2021-11-07T00:36:36,22.29999924,3.981818199,20.01000023,72.25559235,1
440749.5651,5018892.155,2021-11-07T00:36:37,22.29999924,4.186363697,20.01000023,73.38452148,1
440749.1808,5018890.261,2021-11-07T00:36:38,22.29999924,4.336363792,20.01000023,71.40834045,1
440748.824,5018888.298,2021-11-07T00:36:39,22.20000076,4.472727299,20.01000023,63.86205673,1
440748.5091,5018886.291,2021-11-07T00:36:40,22.20000076,4.561363697,20.01000023,54.05752182,1
440748.2363,5018884.256,2021-11-07T00:36:41,22.29999924,4.588636398,20.01000023,45.69678879,1
440748.0342,5018882.249,2021-11-07T00:36:42,22.29999924,4.54090929,20.01000023,40.27071381,1
440747.9177,5018880.353,2021-11-07T00:36:43,22.29999924,4.275000095,20.01000023,34.79081345,1
440747.8866,5018878.541,2021-11-07T00:36:44,22.5,4.050000191,20.01000023,28.22243118,1
440747.9546,5018876.77,2021-11-07T00:36:45,22.60000038,3.961363554,20.01000023,22.07235336,1
440748.1074,5018875.026,2021-11-07T00:36:46,22.79999924,3.913636446,20.01000023,20.42681503,1
440748.3169,5018873.31,2021-11-07T00:36:47,23,3.913636446,20.01000023,24.69563103,1
440748.6249,5018871.579,2021-11-07T00:36:48,23.10000038,3.913636446,20.01000023,33.29580307,1
440749.0035,5018869.861,2021-11-07T00:36:49,23.20000076,3.961363554,20.01000023,45.62760162,1
440749.4666,5018868.128,2021-11-07T00:36:50,22.79999924,3.981818199,20.01000023,61.44791031,1
440750.0003,5018866.409,2021-11-07T00:36:51,22.5,4.029545307,20.01000023,76.04419708,1
440750.6188,5018864.717,2021-11-07T00:36:52,22.29999924,4.050000191,20.01000023,86.08984375,1
440751.2938,5018863.039,2021-11-07T00:36:53,22,4.070454597,20.01000023,92.00109863,1
440752.039,5018861.317,2021-11-07T00:36:54,21.79999924,4.206818104,20.01000023,93.33034515,1
440752.868,5018859.525,2021-11-07T00:36:55,21.70000076,4.431818008,20.01000023,94.24940491,1
440753.753,5018857.676,2021-11-07T00:36:56,21.70000076,4.561363697,20.01000023,97.49795532,1
440754.6661,5018855.827,2021-11-07T00:36:57,21.70000076,4.629545689,20.01000023,103.4922638,1
440755.6212,5018853.949,2021-11-07T00:36:58,21.79999924,4.697727203,20.01000023,111.2623978,1
440756.6187,5018852.071,2021-11-07T00:36:59,21.79999924,4.786363602,20.01000023,117.9176407,1
440757.672,5018850.136,2021-11-07T00:37:00,21.79999924,4.902272701,20.01000023,121.1363602,1
440758.7394,5018848.201,2021-11-07T00:37:01,21.89999962,4.963636398,20.01000023,119.9795456,1
440759.8347,5018846.238,2021-11-07T00:37:02,22,5.03181839,20.01000023,113.3379745,1
440760.9296,5018844.232,2021-11-07T00:37:03,22.10000038,5.120454311,20.01000023,105.9819183,1
440762.0244,5018842.213,2021-11-07T00:37:04,22.10000038,5.147727489,20.01000023,104.4706955,1
440763.1195,5018840.221,2021-11-07T00:37:05,22.10000038,5.099999905,20.01000023,110.7207794,1
440764.2144,5018838.215,2021-11-07T00:37:06,22,5.099999905,20.01000023,118.0617981,1
440765.3093,5018836.21,2021-11-07T00:37:07,22,5.099999905,20.01000023,120.4614334,1
440766.4041,5018834.19,2021-11-07T00:37:08,22,5.168181896,20.01000023,113.1890945,1
440767.5126,5018832.128,2021-11-07T00:37:09,22,5.256818295,20.01000023,101.5028,1
440768.6348,5018830.024,2021-11-07T00:37:10,22,5.324999809,20.01000023,90.09090424,1
440769.7711,5018827.92,2021-11-07T00:37:11,22.10000038,5.3659091,20.01000023,81.08938599,1
440770.9355,5018825.801,2021-11-07T00:37:12,22.39999962,5.413636208,20.01000023,72.86811066,1
440772.0858,5018823.683,2021-11-07T00:37:13,22.70000076,5.413636208,20.01000023,66.31350708,1
440773.2501,5018821.564,2021-11-07T00:37:14,22.89999962,5.393181801,20.01000023,58.76659012,1
440774.4005,5018819.46,2021-11-07T00:37:15,22.79999924,5.413636208,20.01000023,52.35569763,1
440775.5648,5018817.327,2021-11-07T00:37:16,22.70000076,5.434091091,20.01000023,49.54792023,1
440776.7006,5018815.167,2021-11-07T00:37:17,22.79999924,5.461363792,20.01000023,51.89815903,1
440777.8504,5018813.006,2021-11-07T00:37:18,22.89999962,5.481818199,20.01000023,58.69907761,1
440778.9864,5018810.86,2021-11-07T00:37:19,22.89999962,5.434091091,20.01000023,68.56430054,1
440780.1224,5018808.727,2021-11-07T00:37:20,23,5.413636208,20.01000023,80.78488159,1
440781.2444,5018806.595,2021-11-07T00:37:21,22.79999924,5.393181801,20.01000023,94.77735138,1
440782.3945,5018804.463,2021-11-07T00:37:22,22.60000038,5.393181801,20.01000023,105.8311768,1
440783.5308,5018802.358,2021-11-07T00:37:23,22.5,5.3659091,20.01000023,112.3983536,1
440784.6812,5018800.254,2021-11-07T00:37:24,22.39999962,5.393181801,20.01000023,114.2318115,1
440785.8457,5018798.149,2021-11-07T00:37:25,22.29999924,5.393181801,20.01000023,116.1873779,1
440787.0102,5018796.045,2021-11-07T00:37:26,22.29999924,5.393181801,20.01000023,117.5436478,1
440788.1605,5018793.926,2021-11-07T00:37:27,22.29999924,5.3659091,20.01000023,119.0498581,1
440789.2967,5018791.808,2021-11-07T00:37:28,22,5.393181801,20.01000023,120.2666702,1
440790.4611,5018789.689,2021-11-07T00:37:29,21.79999924,5.434091091,20.01000023,120.5704803,1
440791.6112,5018787.557,2021-11-07T00:37:30,21.79999924,5.393181801,20.01000023,120.5750427,1
440792.7759,5018785.466,2021-11-07T00:37:31,22.20000076,5.393181801,20.01000023,116.3369141,1
440793.9405,5018783.376,2021-11-07T00:37:32,22.39999962,5.345454693,20.01000023,111.1518707,1
440795.0909,5018781.271,2021-11-07T00:37:33,22.5,5.393181801,20.01000023,101.0077133,1
440796.2696,5018779.167,2021-11-07T00:37:34,22.5,5.413636208,20.01000023,90.29393005,1
440797.4339,5018777.048,2021-11-07T00:37:35,22.5,5.413636208,20.01000023,80.86023712,1
440798.6124,5018774.929,2021-11-07T00:37:36,22.5,5.413636208,20.01000023,74.57110596,1
440799.791,5018772.824,2021-11-07T00:37:37,22.5,5.413636208,20.01000023,70.52809143,1
440800.9836,5018770.706,2021-11-07T00:37:38,22.5,5.434091091,20.01000023,65.33975983,1
440802.1483,5018768.615,2021-11-07T00:37:39,22.5,5.393181801,20.01000023,57.71869278,1
